,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
188,Energy of Minas Gerais Prf,CMIG4,BM&FBovespa,Utilities,Electric Utilities,11.32,1.43%,29.72B,8.95M,6.63,0.07,34.37B,13.00M,1.66,0.54,1.38,-,Sell,Strong Buy,Strong Buy,Strong Buy,Strong Buy,1.43,0.44,-0.35,19.99,18.59,63.35,19.28,12.19%,7.99,0.85,5.22,4.86,1.38,9.39,180.69,-10.16,57.47,-3.16,9.96,12.38,8.78,0.64,0.00,6.84,726.41,7.08,13.13,8.66,-13.79,30.72,0.97%,18.67,20.86,14.51,14.67,10.45,13.08,10.62,9.99,0.87,1.27,48.31,55.11,8.31,178.11,47.95,32.37,0.42,0.19,72.66,0.00,10.55,52.66,49.14,83.41,45.93,-25.17
189,Energy of Minas Gerais,CMIG3,BM&FBovespa,Utilities,Electric Utilities,17.85,2.65%,29.72B,273.70K,6.63,0.21,34.37B,410.30K,1.66,0.54,1.38,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2.65,1.02,0.56,31.64,37.90,118.48,40.36,7.73%,8.17,0.93,53.38,53.38,1.35,6.00,186.10,1.10K,-25.19,17.45,16.30,8.96,-4.03,0.54,463.67,1.02,47.32,5.91,19.98,11.72,-10.66,52.30,4.51%,20.05,27.11,13.72,19.78,7.38,14.41,4.63,10.41,1.17,1.18,88.03,104.22,6.44,178.11,-,32.18,0.74,0.11,62.69,0.04,12.41,54.46,53.88,85.96,52.23,-19.93
190,EQUATORIAL ON,EQTL3,BM&FBovespa,Utilities,Electric Utilities,26.61,0.45%,29.27B,5.19M,12.14,-0.35,27.27B,7.88M,2.18,0.41,0.64,-,Strong Sell,Neutral,Strong Sell,Neutral,Strong Buy,0.45,-2.78,-9.34,20.70,14.19,22.98,16.88,2.41%,12.48,1.07,10.68,15.64,1.79,13.82,-68.10,-41.38,39.32,-8.13,22.98,24.97,29.50,0.43,100.04,-,-,4.56,30.49,20.51,-12.73,29.74,-8.26%,26.15,-,22.00,21.62,14.16,18.15,8.56,15.79,1.27,1.54,171.26,193.27,1.75,125.00,19.14,24.27,0.83,-1.42,-147.92,-0.40,-2.99,39.20,27.64,10.10,44.16,-85.28
191,Western Union BDR,WUNI34,BM&FBovespa,Information Technology,IT Services,75.75,0%,27.76B,0.00,6.84,-1.42,4.67B,12.00,2.12,0.89,3.30,-,Neutral,Neutral,Buy,Neutral,Strong Sell,0.00,0.00,13.19,-23.98,-23.33,-32.47,-22.86,4.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106.6,63.01,-28.94,20.22,1.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.83,2.88,6.55,82.68,3.71,1.99,53.45,70.89,100.00,65.75,-10.28
192,Parana Sanepar Unit,SAPR11,BM&FBovespa,Utilities,Water Utilities,18.31,0.55%,27.75B,359.50K,5.11,0.04,5.52B,1.26M,0.75,0.53,1.16,-,Strong Sell,Neutral,Sell,Neutral,Sell,0.55,-0.22,3.10,-4.49,-5.42,-39.87,-5.91,6.34%,4.79,0.97,3.67,27.44,0.65,-,2.84,-0.39,13.44,8.41,10.35,8.40,13.49,0.37,38.41,828.60,187.49,5.94,21.24,16.7,-13.79,9.64,0.26%,58.56,60.16,34.04,33.35,27.32,28.57,20.29,21.23,1.50,1.60,47.44,58.38,6.63,9.93,29.17,29.13,0.72,-0.32,-25.33,0.00,6.95,48.94,31.95,52.82,48.22,-48.91
193,PETRORIO ON NM,PRIO3,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",32.67,-5.69%,27.71B,22.03M,8.79,0.36,6.33B,13.25M,4.01,1.80,-,-,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,-5.69,-10.98,-12.22,58.06,57.52,509.51,48.97,-,8.65,4.08,9.24,20.79,3.16,4.93,711.37,167.46,34.46,111.36,104.94,61.68,100.46,0.46,6.84,-,-,6.76,39.25,18.49,-16.76,76.69,1.86%,65.49,45.60,58.73,44.55,52.98,29.95,47.17,30.70,7.29,7.82,57.32,99.35,-,0.00,0.00,17.09,1.75,-4.16,-211.87,-1.91,-8.74,39.39,60.40,0.00,37.87,-91.30
194,Sendas Distribuidora,ASAI3,BM&FBovespa,Consumer Staples,Food & Staples Retailing,20.1,0.7%,27.71B,7.44M,27.33,0.31,50.12B,15.68M,0.67,0.22,0.13,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,0.70,2.13,-1.47,56.35,42.50,-,44.22,0.62%,20.07,0.54,3.29,39.52,7.49,14.89,-66.85,-74.17,52.96,27.54,22.09,21.35,-,1.75,7.98,821.10,31.72,116.30,20.86,10.94,-3.64,83.73,1.16%,16.39,16.72,5.44,5.58,2.64,4.77,2.68,3.41,0.35,0.91,370.57,554.60,-,0.00,1.10,27.18,0.79,-0.06,78.06,0.04,3.08,55.14,67.47,54.49,64.36,-33.51
195,Hypera,1HYPE3,BM&FBovespa,Healthcare,Pharmaceuticals,45,0%,27.10B,0.00,17.31,0.56,6.79B,3.91M,2.56,0.41,1.23,-,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,0.00,0.00,-6.09,-,-,-,-,2.88%,17.47,4.06,13.82,24.59,2.73,-,128.12,25.70,20.18,24.69,29.49,12.96,33.43,0.33,1.60,659.71,179.75,3.30,50.8,33.28,-11.42,35.22,-10.71%,63.23,66.96,33.13,32.91,22.22,31.30,22.99,31.03,1.08,1.80,69.75,85.76,3.99,5.17,48.16,67.16,1.28,-5.15,-216.85,-2.80,-4.42,43.03,55.82,0.00,39.82,-95.08
196,Hypera,HYPE3,BM&FBovespa,Healthcare,Pharmaceuticals,42.8,1.4%,27.10B,3.76M,17.31,-0.84,7.05B,3.85M,2.56,0.41,1.23,-,Sell,Neutral,Strong Sell,Sell,Strong Buy,1.40,-3.56,-11.88,53.85,51.12,39.63,53.12,2.88%,16.29,3.79,13.82,22.94,2.55,7.95,128.12,25.70,20.18,24.69,29.49,12.96,33.43,0.33,1.60,659.71,179.75,3.30,51.11,25.83,-16.26,65.70,-12.54%,63.23,66.96,33.13,32.91,22.22,31.30,22.99,31.03,1.08,1.80,69.75,85.76,3.99,5.17,48.16,34.33,1.60,-3.42,-182.70,-0.76,-5.85,39.06,42.37,27.90,43.90,-77.21
197,Caixa Seguridade Participacoes,CXSE3,BM&FBovespa,Financial,Insurance,7.91,-0.5%,26.85B,1.52M,9.46,-0.13,3.34B,2.74M,0.85,0.45,0.65,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,-0.50,-3.42,-8.02,-1.93,-6.41,-,-8.81,8.2%,9.35,6.99,13.01,0.00,2.03,2.16,55.70,41.35,-,59.51,49.40,13.97,-,0.30,0.00,10.97,15.67,-,9.42,6.59,-16.03,20.03,-8.73%,92.94,-,84.83,-,86.81,-,74.78,-,9.10,9.23,0.00,0.00,-,0.00,38.70,24.38,0.21,-0.30,-87.55,-0.01,0.51,40.51,48.49,34.36,51.12,-72.92
198,Banco Inter Unit,BIDI11,BM&FBovespa,Financial,Banks,10.4,0%,24.15B,0.00,-,-1.28,-,14.43M,0.01,-,0.08,-,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Strong Sell,0.00,0.00,0.97,-63.60,-86.77,-,-86.31,0.77%,373.56,6.40,6.00,9.37,4.99,1.75,0.00,0.00,-,189.56,59.05,14.10,202.03,-,-,-,-,-,86.77,9.36,-88.01,11.11,-17.39%,-,-,-0.39,-,-0.39,6.58,3.49,7.23,-,-,0.00,74.36,-,-,-691.06,64.81,0.72,-2.22,-98.15,-0.57,-20.61,32.74,28.54,68.12,43.10,-76.20
199,Banco Inter PN Termo,BIDI4T,BM&FBovespa,,,3.55,0%,24.15B,0.00,-,-0.47,-,243.82K,-,-,-,-,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,0.00,0.28,-2.47,-63.06,-86.46,-74.13,-86.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.81,3.26,-88.09,8.90,-22.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.06,0.24,-0.82,-111.11,-0.26,-21.68,31.04,23.84,47.93,39.32,-78.79
200,Energisa ORD,ENGI3,BM&FBovespa,Utilities,Electric Utilities,13.07,-0.15%,23.67B,1.90K,10.31,-0.17,27.28B,5.62K,1.27,0.77,0.67,-,Buy,Sell,Strong Sell,Strong Sell,Sell,-0.15,-2.61,-9.36,0.52,-15.39,6.35,-16.62,5.14%,8.46,0.73,7.31,101.46,1.70,-,-50.75,-5.45,66.52,-9.67,6.49,17.81,14.67,0.49,100.34,1.71,193.02,6.06,16.86,11.54,-22.48,13.26,-9.91%,22.54,-,21.41,14.41,12.87,9.75,8.60,7.07,0.84,1.22,228.93,237.18,-,558.33,37.25,22.40,0.66,-1.20,-142.56,-0.19,-6.64,42.35,30.05,26.03,31.70,-80.79
201,CCR SA ON,CCRO3,BM&FBovespa,Industrials,Transportation Infrastructure,11.47,-0.09%,23.17B,5.71M,5.28,-0.21,18.45B,12.53M,2.09,0.53,0.46,-,Strong Sell,Neutral,Sell,Strong Sell,Strong Sell,-0.09,0.00,-6.37,-0.40,-6.23,-31.61,-12.02,3.98%,5.50,1.26,5.62,3.99,1.88,-,229.75,459.29,-18.72,28.45,53.67,4.14,28.77,0.41,0.00,682.74,44.92,9.38,14.75,10.76,-22.24,6.60,-8.87%,71.02,38.27,53.65,29.19,38.69,16.89,22.86,8.94,1.37,1.47,283.03,243.32,3.98,-89.59,47.50,22.84,0.42,-0.08,19.09,0.00,-0.52,45.31,56.04,82.22,48.62,-46.15
202,KLABIN S/A PN,KLBN4,BM&FBovespa,Materials,Containers & Packaging,4.15,-0.95%,22.77B,1.58M,4.85,-0.02,19.53B,2.50M,0.83,0.68,0.30,-,Strong Buy,Strong Buy,Neutral,Neutral,Neutral,-0.95,4.01,-7.57,-12.92,-7.75,18.57,-7.75,7.12%,5.06,1.18,5.37,-27.46,2.56,2.47,75.04,33.06,3.09,25.93,28.55,18.37,8.60,0.45,5.82,-,-,7.46,5.05,3.42,-17.82,21.35,-9.01%,38.32,33.55,24.44,19.74,35.65,2.59,23.30,3.23,1.73,2.35,295.64,324.86,3.35,-57.61,36.15,49.03,0.14,-0.03,-21.80,0.00,-7.37,47.84,40.98,62.05,50.48,-57.14
203,KLABIN S/A UNT N2,KLBN11,BM&FBovespa,Materials,Containers & Packaging,20.72,-0.24%,22.77B,5.58M,4.85,-0.12,19.53B,7.03M,0.83,0.68,1.48,-,Strong Buy,Strong Buy,Neutral,Neutral,Neutral,-0.24,4.91,-8.03,-15.36,-13.54,16.61,-13.30,7.13%,5.06,1.18,5.37,-27.46,2.56,2.47,75.04,33.06,3.09,25.93,28.55,18.37,8.60,0.45,5.82,-,-,7.46,26.31,17.18,-21.25,20.61,-8.88%,38.32,33.55,24.44,19.74,35.65,2.59,23.30,3.23,1.73,2.35,295.64,324.86,3.35,-57.60,36.15,45.88,0.69,-0.03,-16.78,0.00,-7.62,47.54,39.64,63.39,50.63,-55.68
204,KLABIN S/A ON N2,KLBN3,BM&FBovespa,Materials,Containers & Packaging,4.12,-1.44%,22.77B,227.80K,4.85,-0.03,19.53B,622.57K,0.83,0.68,0.30,-,Strong Sell,Neutral,Sell,Strong Sell,Strong Sell,-1.44,4.30,-8.24,-26.82,-33.76,1.48,-33.23,7.17%,5.06,1.18,5.37,-27.46,2.56,4.36,75.04,33.06,3.09,25.93,28.55,18.37,8.60,0.45,5.82,-,-,7.14,6.67,3.55,-38.23,16.06,-10.96%,38.32,33.19,24.44,27.65,35.65,3.92,23.30,4.83,1.73,2.35,494.46,324.86,16.86,-57.61,13.31,38.45,0.15,0.03,-9.32,0.00,-6.36,46.76,37.63,72.31,49.17,-56.72
205,Companhia Distribuidora de Gas do Rio de Janeiro C,CEGR3,BM&FBovespa,Utilities,Gas Utilities,89,0%,22.02B,0.00,-,-,5.82B,100.00,1.86,-0.15,0.71,-,-,-,-,-,-,0.00,0.51,0.51,53.45,51.29,96.38,51.29,0.8%,45.48,3.78,24.81,0.00,16.74,-,0.00,0.00,4.36,33.31,46.72,7.18,-14.43,1.45,848.50,9.12,1.00,7.81,88.55,57.99,-,53.47,-,23.13,-,14.97,14.41,12.46,11.55,8.32,8.07,1.00,1.04,64.76,94.33,-,-100.00,81.87,-,-,-,-,-,-,-,-,-,-,-
206,LOJAS RENNER ON,LREN3,BM&FBovespa,Consumer Discretionary,Specialty Retail,22.04,1.99%,21.36B,20.63M,17.29,-1.58,13.13B,14.43M,1.25,0.45,0.61,-,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,1.99,-1.69,-19.65,-8.63,-20.54,-57.59,-23.81,2.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.8,20.57,-30.69,7.15,-25.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.12,1.17,-2.50,-86.65,-0.79,-9.11,36.92,28.27,58.06,45.25,-71.62
207,BRASKEM ON,BRKM3,BM&FBovespa,Materials,Chemicals,27.01,0%,21.19B,12.40K,11.99,-1.11,105.83B,19.20K,2.39,1.05,9.24,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,-4.66,-12.87,-50.47,-45.57,-9.76,-50.31,34.19%,11.23,0.20,3.16,3.46,2.46,6.45,-131.18,-86.68,41.27,-10.29,9.97,17.25,5.75,1.13,5.97,-,-,17.77,54.96,27,-50.86,0.04,-15.1%,17.13,22.92,11.81,13.46,3.33,3.87,1.80,3.42,0.82,1.53,615.29,639.25,4.19,0.00,42.90,47.92,0.86,-2.67,-217.01,-1.30,-8.53,27.24,31.62,0.00,25.66,-99.71
208,BRASKEM PNA,BRKM5,BM&FBovespa,Materials,Chemicals,26.07,0%,21.19B,2.52M,11.99,-1.05,105.83B,3.28M,2.39,1.05,9.24,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,-6.16,-12.75,-52.94,-49.78,-10.23,-53.97,35.43%,11.23,0.20,3.16,3.46,2.46,3.92,-131.18,-86.68,0.00,-10.29,9.97,17.25,5.75,1.13,5.97,12.72,184.20,14.87,56.86,25.36,-54.15,2.80,-16.52%,17.13,20.92,11.81,14.01,3.33,0.91,1.80,1.23,0.82,1.53,573.67,639.25,6.03,0.00,385.35,40.39,1.02,-3.51,-191.82,-1.95,-12.13,30.72,30.41,0.00,26.87,-97.88
209,COPEL ON,CPLE3,BM&FBovespa,Utilities,Electric Utilities,7.18,2.28%,21.13B,1.11M,24.43,0.08,22.89B,1.22M,0.32,0.42,0.90,-,Strong Sell,Neutral,Sell,Strong Buy,Strong Buy,2.28,-2.97,-4.65,28.51,32.62,22.53,36.77,12.57%,23.50,0.90,4.48,6.28,0.98,1.38,-87.17,-84.49,35.36,-21.83,-0.66,12.85,-31.14,0.46,94.49,3.67,590.25,6.70,8.01,5.16,-10.36,39.15,7.13%,20.93,-,6.80,20.06,4.72,18.79,3.84,14.21,1.15,1.54,42.44,64.91,11.30,307.20,82.07,41.11,0.36,-0.27,-52.67,0.00,3.76,49.56,31.58,42.45,47.91,-58.44
210,COPEL Pref B,CPLE6,BM&FBovespa,Utilities,Electric Utilities,8.03,2.42%,21.13B,18.02M,24.43,0.19,22.89B,15.95M,0.32,0.42,0.99,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2.42,-1.11,2.55,36.30,38.01,45.21,40.66,12.36%,23.50,0.90,4.48,6.28,0.98,1.84,-87.17,-84.49,40.78,-21.83,-0.66,12.85,-23.43,0.46,92.60,3.50,141.02,5.89,8.74,5.6,-8.12,43.39,9.19%,20.93,22.78,11.21,17.94,4.72,17.43,3.84,14.17,1.15,1.54,51.84,64.91,9.74,167.65,346.81,38.87,0.41,-0.09,-7.70,0.00,10.15,55.60,37.44,46.55,52.34,-40.00
211,CSN Mineracao,CMIN3,BM&FBovespa,Materials,Metals & Mining,3.76,-1.31%,20.62B,4.32M,7.50,0.08,11.94B,10.18M,0.51,1.26,0.96,-,Neutral,Strong Sell,Neutral,Buy,Strong Sell,-1.31,-1.31,6.32,-38.81,-38.27,-,-36.10,25.53%,7.51,1.75,3.31,-9.99,1.59,2.88,-35.08,-59.99,57.44,-10.93,-43.77,28.58,39.77,0.44,6.64,2.56,857.23,10.65,6.92,3.16,-45.66,18.99,17.27%,42.43,57.10,33.01,43.19,31.84,40.44,23.29,28.07,2.47,2.77,30.39,63.21,-,0.00,29.01,14.42,0.15,0.04,36.86,0.00,0.00,54.09,67.68,51.94,49.02,-40.38
212,NEOENERGIA,NEOE3,BM&FBovespa,Utilities,Electric Utilities,14.85,-0.13%,20.26B,1.65M,4.27,-0.20,42.38B,1.69M,3.64,0.71,0.80,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.13,-5.17,-10.00,-8.33,-17.18,-34.73,-16.62,5.38%,4.09,0.42,-226.02,17.00,0.67,1.93,16.71,3.06,52.77,-16.39,3.57,23.81,2.30,0.50,0.00,2.47,214.42,5.83,19.34,13.32,-23.22,11.49,-4.34%,23.73,22.22,22.62,14.94,12.11,10.13,10.23,7.55,0.95,1.30,128.91,167.51,-,-39.31,9.46,20.90,0.45,-0.99,-146.94,-0.43,-1.98,38.83,34.44,5.86,34.65,-90.67
213,MAGAZ LUIZA ON,MGLU3,BM&FBovespa,Consumer Discretionary,Multiline Retail,2.94,0%,19.63B,258.33M,-59.98,-0.29,35.53B,195.30M,-0.06,0.79,0.02,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,-5.16,-34.23,-59.28,-53.18,-74.28,-61.42,1.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.41,2.03,-60.32,44.83,-23.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.56,0.27,-0.56,-183.98,-0.22,-13.27,34.91,30.88,25.17,40.64,-97.30
214,SID NACIONAL ON,CSNA3,BM&FBovespa,Materials,Metals & Mining,14.42,-1.9%,19.12B,8.84M,7.85,0.25,43.59B,13.92M,1.83,1.68,2.02,-,Sell,Strong Sell,Strong Buy,Neutral,Strong Sell,-1.90,0.63,7.77,-39.86,-38.55,9.69,-38.43,14.04%,7.99,0.45,1.98,132.60,0.92,2.35,-87.92,-83.30,60.30,6.35,-7.92,22.81,11.91,0.55,2.93,1.36,386.47,18.43,29.53,11.8,-51.17,22.20,18.24%,31.20,36.56,20.78,27.42,14.30,21.32,5.60,17.56,0.86,1.45,135.43,179.38,-,0.00,21.65,16.53,0.72,0.21,26.91,0.00,-1.30,53.14,68.15,57.64,53.80,-35.68
215,ENEVA ON NM,ENEV3,BM&FBovespa,Utilities,Independent Power and Renewable Electricity Producers,12,-0.17%,18.98B,12.97M,15.52,-0.40,5.49B,11.11M,0.80,0.76,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.17,-2.20,-13.11,-15.19,-19.08,23.71,-18.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.42,11.45,-26.92,4.80,-12.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.34,0.45,-0.69,-101.15,-0.23,-4.76,33.41,24.79,1.21,41.66,-88.03
216,Energisa Mato Grosso,ENMT4,BM&FBovespa,Utilities,Electric Utilities,79.9,0%,17.49B,0.00,14.85,0.07,7.46B,739.00,5.53,0.08,3.54,-,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,0.00,-2.79,-2.54,-0.82,-0.50,154.54,-0.50,4.43%,14.84,2.41,42.91,19.19,5.29,14.79,-14.66,4.98,47.73,-19.21,8.73,16.93,-0.80,0.66,224.75,3.02,466.99,7.61,85,77,-6.00,3.77,0.85%,27.19,-,27.47,18.68,19.67,13.56,16.24,11.09,0.84,1.22,119.01,138.60,-,766.51,76.98,30.90,1.84,-2.23,-156.56,-0.23,-1.96,45.70,43.37,0.00,57.05,-79.07
217,Energisa MT,ENMT3,BM&FBovespa,Utilities,Electric Utilities,79.89,0%,17.49B,0.00,14.85,0.03,7.46B,1.03K,5.53,0.08,3.54,-,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,0.00,-1.36,-1.98,-1.37,0.15,146.73,0.28,4.43%,14.44,2.34,42.91,18.67,5.15,14.79,-14.66,4.98,47.73,-19.21,8.73,16.93,-0.80,0.66,222.72,3.02,466.99,7.61,85.22,77,-6.25,3.75,-1%,27.19,-,27.47,18.68,19.67,13.56,16.24,11.09,0.84,1.22,119.01,138.60,-,0.00,76.98,43.18,1.10,-2.41,-171.92,-1.36,-2.18,43.43,52.63,0.00,45.00,-100.00
218,Vibra Energia,VBBR3,BM&FBovespa,Consumer Discretionary,Specialty Retail,15.59,-0.76%,17.38B,6.33M,8.86,-0.49,175.64B,10.36M,1.78,0.65,0.60,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.76,-3.71,-15.32,-27.15,-30.06,-33.82,-29.77,3.83%,8.78,0.10,53.15,10.50,1.39,1.92,-110.54,-55.30,14.51,42.42,52.54,8.47,7.75,5.08,26.18,34.17,1.37,27.15,24.86,15.53,-37.29,0.39,-9.42%,4.61,6.03,2.14,2.66,1.52,3.62,1.14,2.65,0.93,2.19,100.55,139.96,-,200.79,0.00,35.12,0.67,-1.09,-122.74,-0.59,-7.09,37.57,23.12,1.36,40.29,-97.50
219,NATURA ON,NTCO3,BM&FBovespa,Consumer Staples,Personal Products,12.39,-0.16%,17.01B,15.86M,-15.18,-0.40,37.60B,16.73M,-0.93,1.61,0.13,-,Buy,Strong Buy,Neutral,Strong Sell,Strong Sell,-0.16,9.36,-5.71,-50.98,-53.06,-63.64,-53.93,1.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.49,11.17,-56.51,10.92,-21.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.52,0.68,0.27,64.89,0.04,-3.50,47.45,58.21,98.43,58.64,-39.00
220,Grupo Mateus,GMAT3,BM&FBovespa,Consumer Staples,Food & Staples Retailing,5.7,0.53%,17.01B,4.36M,-,-0.19,20.15B,7.14M,0.43,0.17,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,0.53,-5.00,-20.06,-5.47,-5.94,-,-9.38,-,13.17,0.62,-15.76,-8.48,1.75,1.52,8.35,27.42,-,36.19,33.67,0.00,-,1.87,3.83,416.75,24.82,10.17,7.85,3.21,-27.39,77.57,-16.85%,22.39,-,5.97,-,4.93,-,4.72,-,1.39,3.57,27.49,44.19,-,0.00,0.00,25.39,0.28,-0.72,-208.19,-0.21,-7.62,35.60,42.44,10.34,45.70,-84.15
221,Companhia Paranaense de Energia,CPLE5,BM&FBovespa,Utilities,Electric Utilities,23.12,0%,16.93B,100.00,-,-0.36,22.89B,347.00,0.32,-,0.99,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,0.00,-14.05,-16.02,-35.59,-22.96,-,-22.96,4.29%,24.08,0.92,4.48,6.43,1.01,1.84,-87.17,-84.49,40.78,-21.83,-0.66,12.85,-23.43,0.46,94.49,3.78,152.24,5.89,37,20,-37.51,15.60,-15.94%,20.93,22.78,11.21,17.94,4.72,17.43,3.84,14.17,1.15,1.54,51.84,64.91,9.74,327.90,346.81,54.93,1.38,-8.84,-172.73,-6.42,-29.94,34.75,34.90,0.00,23.51,-100.00
222,CTEEP,TRPL3,BM&FBovespa,Utilities,Electric Utilities,29.5,1.72%,16.81B,400.00,5.89,-0.39,5.49B,2.04K,3.92,0.53,3.59,-,Strong Sell,Neutral,Sell,Strong Sell,Sell,1.72,1.37,-3.31,-3.59,-0.03,19.29,-7.12,12.17%,6.44,2.94,12.82,60.76,1.03,1.37,-34.04,-19.27,-9.40,-20.36,5.16,-6.60,5.28,0.19,69.60,3.95,2.17,56.95,36.26,27.5,-18.64,7.27,-1.9%,65.19,-,60.25,85.17,55.67,78.48,45.66,62.23,4.76,5.29,45.86,50.52,11.89,106.31,40.12,43.02,0.86,0.15,-25.46,0.00,-3.21,47.32,30.52,60.94,42.54,-53.96
223,TRAN PAULIST PN,TRPL4,BM&FBovespa,Utilities,Electric Utilities,22.95,0.61%,16.81B,1.29M,5.89,-0.17,5.49B,1.84M,3.92,0.53,3.59,-,Strong Sell,Neutral,Sell,Strong Sell,Neutral,0.61,0.57,-4.22,-5.59,-4.88,27.15,-4.13,15.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,22.43,-15.00,2.32,-5.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.02,0.42,-0.16,-33.00,0.00,0.57,45.40,26.94,58.50,39.65,-63.46
224,COMGAS PNA,CGAS5,BM&FBovespa,Utilities,Gas Utilities,130,0.15%,16.81B,100.00,10.03,-1.54,16.10B,2.62K,12.93,0.48,27.46,-,Strong Buy,Buy,Strong Sell,Sell,Neutral,0.15,-1.01,0.29,-10.19,-21.97,15.63,-16.65,21.12%,9.80,1.02,7.78,0.00,10.10,-3.75,-30.58,-15.49,18.20,56.22,55.94,15.66,0.00,1.24,101.48,14.51,1.51,10.27,170.18,95.88,-23.61,35.59,-15.29%,23.45,30.97,15.65,20.59,11.93,20.54,10.42,15.33,1.28,1.64,361.49,414.79,16.89,45.26,128.66,74.67,1.77,-1.68,-41.68,0.00,-0.74,46.57,37.48,57.82,47.47,-63.87
225,Comgas,CGAS3,BM&FBovespa,Utilities,Gas Utilities,125.99,0%,16.81B,100.00,10.03,-0.87,16.10B,500.00,12.93,0.48,24.97,-,Neutral,Sell,Sell,Sell,Neutral,0.00,0.00,-6.66,-15.43,-25.01,-9.95,-25.89,19.82%,9.80,1.02,7.78,0.00,10.10,-,-30.58,-15.49,18.16,56.22,55.94,15.66,-9.00,1.24,101.48,10.33,1.87,9.96,181.05,105.51,-30.41,19.41,-22.08%,23.45,-,15.65,23.24,11.93,21.06,10.42,15.78,1.28,1.64,425.83,414.79,10.94,45.26,76.46,58.99,8.23,-3.11,-44.98,-3.89,0.78,48.15,24.85,18.01,56.69,-84.64
